delivery,batsman,bowler,extras_dict,non_striker,runs_dict,wicket_dict,wides,noballs,legbyes,byes,penalty,kind,player_out,fielders,runs,extras,total,team,city,date,gender,match_type,neutral_venue,winner,winType,winMargin,result,resultHow,resultTeam,non_boundary,ManOfMatch,overs,team1,team2,tossWinner,tossDecision,venue
0.1,V Kohli,Mohammad Nabi,0,F du Plessis,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Royal Challengers Bengaluru,Mumbai,2024-04-11,male,T20,0,Mumbai Indians,wickets,7,0,0,0,0,JJ Bumrah,20,Royal Challengers Bengaluru,Mumbai Indians,Mumbai Indians,field,"Wankhede Stadium, Mumbai"
0.2,V Kohli,Mohammad Nabi,0,F du Plessis,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0.0,0.0,0,0,0,0,1,0,1,Royal Challengers Bengaluru,Mumbai,2024-04-11,male,T20,0,Mumbai Indians,wickets,7,0,0,0,0,JJ Bumrah,20,Royal Challengers Bengaluru,Mumbai Indians,Mumbai Indians,field,"Wankhede Stadium, Mumbai"
0.3,F du Plessis,Mohammad Nabi,0,V Kohli,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Royal Challengers Bengaluru,Mumbai,2024-04-11,male,T20,0,Mumbai Indians,wickets,7,0,0,0,0,JJ Bumrah,20,Royal Challengers Bengaluru,Mumbai Indians,Mumbai Indians,field,"Wankhede Stadium, Mumbai"
0.4,F du Plessis,Mohammad Nabi,0,V Kohli,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0.0,0.0,0,0,0,0,1,0,1,Royal Challengers Bengaluru,Mumbai,2024-04-11,male,T20,0,Mumbai Indians,wickets,7,0,0,0,0,JJ Bumrah,20,Royal Challengers Bengaluru,Mumbai Indians,Mumbai Indians,field,"Wankhede Stadium, Mumbai"
0.5,V Kohli,Mohammad Nabi,0,F du Plessis,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0.0,0.0,0,0,0,0,1,0,1,Royal Challengers Bengaluru,Mumbai,2024-04-11,male,T20,0,Mumbai Indians,wickets,7,0,0,0,0,JJ Bumrah,20,Royal Challengers Bengaluru,Mumbai Indians,Mumbai Indians,field,"Wankhede Stadium, Mumbai"
0.6,F du Plessis,Mohammad Nabi,0,V Kohli,"{'extras': 0, 'total': 4, 'batsman': 4}",0,0.0,0,0.0,0.0,0,0,0,0,4,0,4,Royal Challengers Bengaluru,Mumbai,2024-04-11,male,T20,0,Mumbai Indians,wickets,7,0,0,0,0,JJ Bumrah,20,Royal Challengers Bengaluru,Mumbai Indians,Mumbai Indians,field,"Wankhede Stadium, Mumbai"
1.1,V Kohli,G Coetzee,0,F du Plessis,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Royal Challengers Bengaluru,Mumbai,2024-04-11,male,T20,0,Mumbai Indians,wickets,7,0,0,0,0,JJ Bumrah,20,Royal Challengers Bengaluru,Mumbai Indians,Mumbai Indians,field,"Wankhede Stadium, Mumbai"
1.2,V Kohli,G Coetzee,0,F du Plessis,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Royal Challengers Bengaluru,Mumbai,2024-04-11,male,T20,0,Mumbai Indians,wickets,7,0,0,0,0,JJ Bumrah,20,Royal Challengers Bengaluru,Mumbai Indians,Mumbai Indians,field,"Wankhede Stadium, Mumbai"
1.3,V Kohli,G Coetzee,0,F du Plessis,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0.0,0.0,0,0,0,0,1,0,1,Royal Challengers Bengaluru,Mumbai,2024-04-11,male,T20,0,Mumbai Indians,wickets,7,0,0,0,0,JJ Bumrah,20,Royal Challengers Bengaluru,Mumbai Indians,Mumbai Indians,field,"Wankhede Stadium, Mumbai"
1.4,F du Plessis,G Coetzee,0,V Kohli,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Royal Challengers Bengaluru,Mumbai,2024-04-11,male,T20,0,Mumbai Indians,wickets,7,0,0,0,0,JJ Bumrah,20,Royal Challengers Bengaluru,Mumbai Indians,Mumbai Indians,field,"Wankhede Stadium, Mumbai"
1.5,F du Plessis,G Coetzee,0,V Kohli,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Royal Challengers Bengaluru,Mumbai,2024-04-11,male,T20,0,Mumbai Indians,wickets,7,0,0,0,0,JJ Bumrah,20,Royal Challengers Bengaluru,Mumbai Indians,Mumbai Indians,field,"Wankhede Stadium, Mumbai"
1.6,F du Plessis,G Coetzee,0,V Kohli,"{'extras': 0, 'total': 6, 'batsman': 6}",0,0.0,0,0.0,0.0,0,0,0,0,6,0,6,Royal Challengers Bengaluru,Mumbai,2024-04-11,male,T20,0,Mumbai Indians,wickets,7,0,0,0,0,JJ Bumrah,20,Royal Challengers Bengaluru,Mumbai Indians,Mumbai Indians,field,"Wankhede Stadium, Mumbai"
2.1,V Kohli,JJ Bumrah,0,F du Plessis,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Royal Challengers Bengaluru,Mumbai,2024-04-11,male,T20,0,Mumbai Indians,wickets,7,0,0,0,0,JJ Bumrah,20,Royal Challengers Bengaluru,Mumbai Indians,Mumbai Indians,field,"Wankhede Stadium, Mumbai"
2.2,V Kohli,JJ Bumrah,0,F du Plessis,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Royal Challengers Bengaluru,Mumbai,2024-04-11,male,T20,0,Mumbai Indians,wickets,7,0,0,0,0,JJ Bumrah,20,Royal Challengers Bengaluru,Mumbai Indians,Mumbai Indians,field,"Wankhede Stadium, Mumbai"
2.3,V Kohli,JJ Bumrah,0,F du Plessis,"{'extras': 0, 'total': 0, 'batsman': 0}","{'player_out': 'V Kohli', 'fielders': ['Ishan Kishan'], 'kind': 'caught'}",0.0,0,0.0,0.0,0,caught,V Kohli,['Ishan Kishan'],0,0,0,Royal Challengers Bengaluru,Mumbai,2024-04-11,male,T20,0,Mumbai Indians,wickets,7,0,0,0,0,JJ Bumrah,20,Royal Challengers Bengaluru,Mumbai Indians,Mumbai Indians,field,"Wankhede Stadium, Mumbai"
2.4,WG Jacks,JJ Bumrah,0,F du Plessis,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Royal Challengers Bengaluru,Mumbai,2024-04-11,male,T20,0,Mumbai Indians,wickets,7,0,0,0,0,JJ Bumrah,20,Royal Challengers Bengaluru,Mumbai Indians,Mumbai Indians,field,"Wankhede Stadium, Mumbai"
2.5,WG Jacks,JJ Bumrah,0,F du Plessis,"{'extras': 0, 'total': 4, 'batsman': 4}",0,0.0,0,0.0,0.0,0,0,0,0,4,0,4,Royal Challengers Bengaluru,Mumbai,2024-04-11,male,T20,0,Mumbai Indians,wickets,7,0,0,0,0,JJ Bumrah,20,Royal Challengers Bengaluru,Mumbai Indians,Mumbai Indians,field,"Wankhede Stadium, Mumbai"
2.6,WG Jacks,JJ Bumrah,0,F du Plessis,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Royal Challengers Bengaluru,Mumbai,2024-04-11,male,T20,0,Mumbai Indians,wickets,7,0,0,0,0,JJ Bumrah,20,Royal Challengers Bengaluru,Mumbai Indians,Mumbai Indians,field,"Wankhede Stadium, Mumbai"
3.1,F du Plessis,Akash Madhwal,0,WG Jacks,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0.0,0.0,0,0,0,0,1,0,1,Royal Challengers Bengaluru,Mumbai,2024-04-11,male,T20,0,Mumbai Indians,wickets,7,0,0,0,0,JJ Bumrah,20,Royal Challengers Bengaluru,Mumbai Indians,Mumbai Indians,field,"Wankhede Stadium, Mumbai"
3.2,WG Jacks,Akash Madhwal,0,F du Plessis,"{'extras': 0, 'total': 4, 'batsman': 4}",0,0.0,0,0.0,0.0,0,0,0,0,4,0,4,Royal Challengers Bengaluru,Mumbai,2024-04-11,male,T20,0,Mumbai Indians,wickets,7,0,0,0,0,JJ Bumrah,20,Royal Challengers Bengaluru,Mumbai Indians,Mumbai Indians,field,"Wankhede Stadium, Mumbai"
3.3,WG Jacks,Akash Madhwal,0,F du Plessis,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Royal Challengers Bengaluru,Mumbai,2024-04-11,male,T20,0,Mumbai Indians,wickets,7,0,0,0,0,JJ Bumrah,20,Royal Challengers Bengaluru,Mumbai Indians,Mumbai Indians,field,"Wankhede Stadium, Mumbai"
3.4,WG Jacks,Akash Madhwal,0,F du Plessis,"{'extras': 0, 'total': 0, 'batsman': 0}","{'player_out': 'WG Jacks', 'fielders': ['TH David'], 'kind': 'caught'}",0.0,0,0.0,0.0,0,caught,WG Jacks,['TH David'],0,0,0,Royal Challengers Bengaluru,Mumbai,2024-04-11,male,T20,0,Mumbai Indians,wickets,7,0,0,0,0,JJ Bumrah,20,Royal Challengers Bengaluru,Mumbai Indians,Mumbai Indians,field,"Wankhede Stadium, Mumbai"
3.5,RM Patidar,Akash Madhwal,0,F du Plessis,"{'extras': 0, 'total': 4, 'batsman': 4}",0,0.0,0,0.0,0.0,0,0,0,0,4,0,4,Royal Challengers Bengaluru,Mumbai,2024-04-11,male,T20,0,Mumbai Indians,wickets,7,0,0,0,0,JJ Bumrah,20,Royal Challengers Bengaluru,Mumbai Indians,Mumbai Indians,field,"Wankhede Stadium, Mumbai"
3.6,RM Patidar,Akash Madhwal,0,F du Plessis,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0.0,0.0,0,0,0,0,1,0,1,Royal Challengers Bengaluru,Mumbai,2024-04-11,male,T20,0,Mumbai Indians,wickets,7,0,0,0,0,JJ Bumrah,20,Royal Challengers Bengaluru,Mumbai Indians,Mumbai Indians,field,"Wankhede Stadium, Mumbai"
4.1,RM Patidar,G Coetzee,0,F du Plessis,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Royal Challengers Bengaluru,Mumbai,2024-04-11,male,T20,0,Mumbai Indians,wickets,7,0,0,0,0,JJ Bumrah,20,Royal Challengers Bengaluru,Mumbai Indians,Mumbai Indians,field,"Wankhede Stadium, Mumbai"
4.2,RM Patidar,G Coetzee,0,F du Plessis,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0.0,0.0,0,0,0,0,1,0,1,Royal Challengers Bengaluru,Mumbai,2024-04-11,male,T20,0,Mumbai Indians,wickets,7,0,0,0,0,JJ Bumrah,20,Royal Challengers Bengaluru,Mumbai Indians,Mumbai Indians,field,"Wankhede Stadium, Mumbai"
4.3,F du Plessis,G Coetzee,0,RM Patidar,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Royal Challengers Bengaluru,Mumbai,2024-04-11,male,T20,0,Mumbai Indians,wickets,7,0,0,0,0,JJ Bumrah,20,Royal Challengers Bengaluru,Mumbai Indians,Mumbai Indians,field,"Wankhede Stadium, Mumbai"
4.4,F du Plessis,G Coetzee,0,RM Patidar,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Royal Challengers Bengaluru,Mumbai,2024-04-11,male,T20,0,Mumbai Indians,wickets,7,0,0,0,0,JJ Bumrah,20,Royal Challengers Bengaluru,Mumbai Indians,Mumbai Indians,field,"Wankhede Stadium, Mumbai"
4.5,F du Plessis,G Coetzee,0,RM Patidar,"{'extras': 0, 'total': 6, 'batsman': 6}",0,0.0,0,0.0,0.0,0,0,0,0,6,0,6,Royal Challengers Bengaluru,Mumbai,2024-04-11,male,T20,0,Mumbai Indians,wickets,7,0,0,0,0,JJ Bumrah,20,Royal Challengers Bengaluru,Mumbai Indians,Mumbai Indians,field,"Wankhede Stadium, Mumbai"
4.6,F du Plessis,G Coetzee,0,RM Patidar,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Royal Challengers Bengaluru,Mumbai,2024-04-11,male,T20,0,Mumbai Indians,wickets,7,0,0,0,0,JJ Bumrah,20,Royal Challengers Bengaluru,Mumbai Indians,Mumbai Indians,field,"Wankhede Stadium, Mumbai"
5.1,RM Patidar,Akash Madhwal,0,F du Plessis,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Royal Challengers Bengaluru,Mumbai,2024-04-11,male,T20,0,Mumbai Indians,wickets,7,0,0,0,0,JJ Bumrah,20,Royal Challengers Bengaluru,Mumbai Indians,Mumbai Indians,field,"Wankhede Stadium, Mumbai"
5.2,RM Patidar,Akash Madhwal,0,F du Plessis,"{'extras': 0, 'total': 4, 'batsman': 4}",0,0.0,0,0.0,0.0,0,0,0,0,4,0,4,Royal Challengers Bengaluru,Mumbai,2024-04-11,male,T20,0,Mumbai Indians,wickets,7,0,0,0,0,JJ Bumrah,20,Royal Challengers Bengaluru,Mumbai Indians,Mumbai Indians,field,"Wankhede Stadium, Mumbai"
5.3,RM Patidar,Akash Madhwal,0,F du Plessis,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0.0,0.0,0,0,0,0,1,0,1,Royal Challengers Bengaluru,Mumbai,2024-04-11,male,T20,0,Mumbai Indians,wickets,7,0,0,0,0,JJ Bumrah,20,Royal Challengers Bengaluru,Mumbai Indians,Mumbai Indians,field,"Wankhede Stadium, Mumbai"
5.4,F du Plessis,Akash Madhwal,0,RM Patidar,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Royal Challengers Bengaluru,Mumbai,2024-04-11,male,T20,0,Mumbai Indians,wickets,7,0,0,0,0,JJ Bumrah,20,Royal Challengers Bengaluru,Mumbai Indians,Mumbai Indians,field,"Wankhede Stadium, Mumbai"
5.5,F du Plessis,Akash Madhwal,0,RM Patidar,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Royal Challengers Bengaluru,Mumbai,2024-04-11,male,T20,0,Mumbai Indians,wickets,7,0,0,0,0,JJ Bumrah,20,Royal Challengers Bengaluru,Mumbai Indians,Mumbai Indians,field,"Wankhede Stadium, Mumbai"
5.6,F du Plessis,Akash Madhwal,0,RM Patidar,"{'extras': 0, 'total': 4, 'batsman': 4}",0,0.0,0,0.0,0.0,0,0,0,0,4,0,4,Royal Challengers Bengaluru,Mumbai,2024-04-11,male,T20,0,Mumbai Indians,wickets,7,0,0,0,0,JJ Bumrah,20,Royal Challengers Bengaluru,Mumbai Indians,Mumbai Indians,field,"Wankhede Stadium, Mumbai"
6.1,RM Patidar,S Gopal,0,F du Plessis,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0.0,0.0,0,0,0,0,1,0,1,Royal Challengers Bengaluru,Mumbai,2024-04-11,male,T20,0,Mumbai Indians,wickets,7,0,0,0,0,JJ Bumrah,20,Royal Challengers Bengaluru,Mumbai Indians,Mumbai Indians,field,"Wankhede Stadium, Mumbai"
6.2,F du Plessis,S Gopal,0,RM Patidar,"{'extras': 0, 'total': 3, 'batsman': 3}",0,0.0,0,0.0,0.0,0,0,0,0,3,0,3,Royal Challengers Bengaluru,Mumbai,2024-04-11,male,T20,0,Mumbai Indians,wickets,7,0,0,0,0,JJ Bumrah,20,Royal Challengers Bengaluru,Mumbai Indians,Mumbai Indians,field,"Wankhede Stadium, Mumbai"
6.3,RM Patidar,S Gopal,0,F du Plessis,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0.0,0.0,0,0,0,0,1,0,1,Royal Challengers Bengaluru,Mumbai,2024-04-11,male,T20,0,Mumbai Indians,wickets,7,0,0,0,0,JJ Bumrah,20,Royal Challengers Bengaluru,Mumbai Indians,Mumbai Indians,field,"Wankhede Stadium, Mumbai"
6.4,F du Plessis,S Gopal,0,RM Patidar,"{'extras': 0, 'total': 2, 'batsman': 2}",0,0.0,0,0.0,0.0,0,0,0,0,2,0,2,Royal Challengers Bengaluru,Mumbai,2024-04-11,male,T20,0,Mumbai Indians,wickets,7,0,0,0,0,JJ Bumrah,20,Royal Challengers Bengaluru,Mumbai Indians,Mumbai Indians,field,"Wankhede Stadium, Mumbai"
6.5,F du Plessis,S Gopal,0,RM Patidar,"{'extras': 0, 'total': 2, 'batsman': 2}",0,0.0,0,0.0,0.0,0,0,0,0,2,0,2,Royal Challengers Bengaluru,Mumbai,2024-04-11,male,T20,0,Mumbai Indians,wickets,7,0,0,0,0,JJ Bumrah,20,Royal Challengers Bengaluru,Mumbai Indians,Mumbai Indians,field,"Wankhede Stadium, Mumbai"
6.6,F du Plessis,S Gopal,0,RM Patidar,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0.0,0.0,0,0,0,0,1,0,1,Royal Challengers Bengaluru,Mumbai,2024-04-11,male,T20,0,Mumbai Indians,wickets,7,0,0,0,0,JJ Bumrah,20,Royal Challengers Bengaluru,Mumbai Indians,Mumbai Indians,field,"Wankhede Stadium, Mumbai"
7.1,F du Plessis,R Shepherd,0,RM Patidar,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0.0,0.0,0,0,0,0,1,0,1,Royal Challengers Bengaluru,Mumbai,2024-04-11,male,T20,0,Mumbai Indians,wickets,7,0,0,0,0,JJ Bumrah,20,Royal Challengers Bengaluru,Mumbai Indians,Mumbai Indians,field,"Wankhede Stadium, Mumbai"
7.2,RM Patidar,R Shepherd,{'legbyes': 1},F du Plessis,"{'extras': 1, 'total': 1, 'batsman': 0}",0,0.0,0,1.0,0.0,0,0,0,0,0,1,1,Royal Challengers Bengaluru,Mumbai,2024-04-11,male,T20,0,Mumbai Indians,wickets,7,0,0,0,0,JJ Bumrah,20,Royal Challengers Bengaluru,Mumbai Indians,Mumbai Indians,field,"Wankhede Stadium, Mumbai"
7.3,F du Plessis,R Shepherd,0,RM Patidar,"{'extras': 0, 'total': 4, 'batsman': 4}",0,0.0,0,0.0,0.0,0,0,0,0,4,0,4,Royal Challengers Bengaluru,Mumbai,2024-04-11,male,T20,0,Mumbai Indians,wickets,7,0,0,0,0,JJ Bumrah,20,Royal Challengers Bengaluru,Mumbai Indians,Mumbai Indians,field,"Wankhede Stadium, Mumbai"
