delivery,batsman,bowler,extras_dict,non_striker,runs_dict,wicket_dict,wides,noballs,legbyes,byes,penalty,kind,player_out,fielders,runs,extras,total,team,city,date,gender,match_type,neutral_venue,winner,winType,winMargin,result,resultHow,resultTeam,non_boundary,ManOfMatch,overs,team1,team2,tossWinner,tossDecision,venue
0.1,V Kohli,MA Starc,0,F du Plessis,"{'extras': 0, 'total': 4, 'batsman': 4}",0,0.0,0,0.0,0.0,0,0,0,0,4,0,4,Royal Challengers Bengaluru,Bengaluru,2024-03-29,male,T20,0,Kolkata Knight Riders,wickets,7,0,0,0,0,SP Narine,20,Royal Challengers Bengaluru,Kolkata Knight Riders,Kolkata Knight Riders,field,"M Chinnaswamy Stadium, Bengaluru"
0.2,V Kohli,MA Starc,0,F du Plessis,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0.0,0.0,0,0,0,0,1,0,1,Royal Challengers Bengaluru,Bengaluru,2024-03-29,male,T20,0,Kolkata Knight Riders,wickets,7,0,0,0,0,SP Narine,20,Royal Challengers Bengaluru,Kolkata Knight Riders,Kolkata Knight Riders,field,"M Chinnaswamy Stadium, Bengaluru"
0.3,F du Plessis,MA Starc,0,V Kohli,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0.0,0.0,0,0,0,0,1,0,1,Royal Challengers Bengaluru,Bengaluru,2024-03-29,male,T20,0,Kolkata Knight Riders,wickets,7,0,0,0,0,SP Narine,20,Royal Challengers Bengaluru,Kolkata Knight Riders,Kolkata Knight Riders,field,"M Chinnaswamy Stadium, Bengaluru"
0.4,V Kohli,MA Starc,0,F du Plessis,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0.0,0.0,0,0,0,0,1,0,1,Royal Challengers Bengaluru,Bengaluru,2024-03-29,male,T20,0,Kolkata Knight Riders,wickets,7,0,0,0,0,SP Narine,20,Royal Challengers Bengaluru,Kolkata Knight Riders,Kolkata Knight Riders,field,"M Chinnaswamy Stadium, Bengaluru"
0.5,F du Plessis,MA Starc,0,V Kohli,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Royal Challengers Bengaluru,Bengaluru,2024-03-29,male,T20,0,Kolkata Knight Riders,wickets,7,0,0,0,0,SP Narine,20,Royal Challengers Bengaluru,Kolkata Knight Riders,Kolkata Knight Riders,field,"M Chinnaswamy Stadium, Bengaluru"
0.6,F du Plessis,MA Starc,0,V Kohli,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Royal Challengers Bengaluru,Bengaluru,2024-03-29,male,T20,0,Kolkata Knight Riders,wickets,7,0,0,0,0,SP Narine,20,Royal Challengers Bengaluru,Kolkata Knight Riders,Kolkata Knight Riders,field,"M Chinnaswamy Stadium, Bengaluru"
1.1,V Kohli,Harshit Rana,0,F du Plessis,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Royal Challengers Bengaluru,Bengaluru,2024-03-29,male,T20,0,Kolkata Knight Riders,wickets,7,0,0,0,0,SP Narine,20,Royal Challengers Bengaluru,Kolkata Knight Riders,Kolkata Knight Riders,field,"M Chinnaswamy Stadium, Bengaluru"
1.2,V Kohli,Harshit Rana,0,F du Plessis,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0.0,0.0,0,0,0,0,1,0,1,Royal Challengers Bengaluru,Bengaluru,2024-03-29,male,T20,0,Kolkata Knight Riders,wickets,7,0,0,0,0,SP Narine,20,Royal Challengers Bengaluru,Kolkata Knight Riders,Kolkata Knight Riders,field,"M Chinnaswamy Stadium, Bengaluru"
1.3,F du Plessis,Harshit Rana,{'wides': 1},V Kohli,"{'extras': 1, 'total': 1, 'batsman': 0}",0,1.0,0,0.0,0.0,0,0,0,0,0,1,1,Royal Challengers Bengaluru,Bengaluru,2024-03-29,male,T20,0,Kolkata Knight Riders,wickets,7,0,0,0,0,SP Narine,20,Royal Challengers Bengaluru,Kolkata Knight Riders,Kolkata Knight Riders,field,"M Chinnaswamy Stadium, Bengaluru"
1.4,F du Plessis,Harshit Rana,0,V Kohli,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0.0,0.0,0,0,0,0,1,0,1,Royal Challengers Bengaluru,Bengaluru,2024-03-29,male,T20,0,Kolkata Knight Riders,wickets,7,0,0,0,0,SP Narine,20,Royal Challengers Bengaluru,Kolkata Knight Riders,Kolkata Knight Riders,field,"M Chinnaswamy Stadium, Bengaluru"
1.5,V Kohli,Harshit Rana,0,F du Plessis,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0.0,0.0,0,0,0,0,1,0,1,Royal Challengers Bengaluru,Bengaluru,2024-03-29,male,T20,0,Kolkata Knight Riders,wickets,7,0,0,0,0,SP Narine,20,Royal Challengers Bengaluru,Kolkata Knight Riders,Kolkata Knight Riders,field,"M Chinnaswamy Stadium, Bengaluru"
1.6,F du Plessis,Harshit Rana,0,V Kohli,"{'extras': 0, 'total': 6, 'batsman': 6}",0,0.0,0,0.0,0.0,0,0,0,0,6,0,6,Royal Challengers Bengaluru,Bengaluru,2024-03-29,male,T20,0,Kolkata Knight Riders,wickets,7,0,0,0,0,SP Narine,20,Royal Challengers Bengaluru,Kolkata Knight Riders,Kolkata Knight Riders,field,"M Chinnaswamy Stadium, Bengaluru"
1.7,F du Plessis,Harshit Rana,0,V Kohli,"{'extras': 0, 'total': 0, 'batsman': 0}","{'player_out': 'F du Plessis', 'fielders': ['MA Starc'], 'kind': 'caught'}",0.0,0,0.0,0.0,0,caught,F du Plessis,['MA Starc'],0,0,0,Royal Challengers Bengaluru,Bengaluru,2024-03-29,male,T20,0,Kolkata Knight Riders,wickets,7,0,0,0,0,SP Narine,20,Royal Challengers Bengaluru,Kolkata Knight Riders,Kolkata Knight Riders,field,"M Chinnaswamy Stadium, Bengaluru"
2.1,V Kohli,MA Starc,0,C Green,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Royal Challengers Bengaluru,Bengaluru,2024-03-29,male,T20,0,Kolkata Knight Riders,wickets,7,0,0,0,0,SP Narine,20,Royal Challengers Bengaluru,Kolkata Knight Riders,Kolkata Knight Riders,field,"M Chinnaswamy Stadium, Bengaluru"
2.2,V Kohli,MA Starc,0,C Green,"{'extras': 0, 'total': 6, 'batsman': 6}",0,0.0,0,0.0,0.0,0,0,0,0,6,0,6,Royal Challengers Bengaluru,Bengaluru,2024-03-29,male,T20,0,Kolkata Knight Riders,wickets,7,0,0,0,0,SP Narine,20,Royal Challengers Bengaluru,Kolkata Knight Riders,Kolkata Knight Riders,field,"M Chinnaswamy Stadium, Bengaluru"
2.3,V Kohli,MA Starc,0,C Green,"{'extras': 0, 'total': 4, 'batsman': 4}",0,0.0,0,0.0,0.0,0,0,0,0,4,0,4,Royal Challengers Bengaluru,Bengaluru,2024-03-29,male,T20,0,Kolkata Knight Riders,wickets,7,0,0,0,0,SP Narine,20,Royal Challengers Bengaluru,Kolkata Knight Riders,Kolkata Knight Riders,field,"M Chinnaswamy Stadium, Bengaluru"
2.4,V Kohli,MA Starc,0,C Green,"{'extras': 0, 'total': 2, 'batsman': 2}",0,0.0,0,0.0,0.0,0,0,0,0,2,0,2,Royal Challengers Bengaluru,Bengaluru,2024-03-29,male,T20,0,Kolkata Knight Riders,wickets,7,0,0,0,0,SP Narine,20,Royal Challengers Bengaluru,Kolkata Knight Riders,Kolkata Knight Riders,field,"M Chinnaswamy Stadium, Bengaluru"
2.5,V Kohli,MA Starc,0,C Green,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0.0,0.0,0,0,0,0,1,0,1,Royal Challengers Bengaluru,Bengaluru,2024-03-29,male,T20,0,Kolkata Knight Riders,wickets,7,0,0,0,0,SP Narine,20,Royal Challengers Bengaluru,Kolkata Knight Riders,Kolkata Knight Riders,field,"M Chinnaswamy Stadium, Bengaluru"
2.6,C Green,MA Starc,0,V Kohli,"{'extras': 0, 'total': 4, 'batsman': 4}",0,0.0,0,0.0,0.0,0,0,0,0,4,0,4,Royal Challengers Bengaluru,Bengaluru,2024-03-29,male,T20,0,Kolkata Knight Riders,wickets,7,0,0,0,0,SP Narine,20,Royal Challengers Bengaluru,Kolkata Knight Riders,Kolkata Knight Riders,field,"M Chinnaswamy Stadium, Bengaluru"
3.1,V Kohli,Harshit Rana,0,C Green,"{'extras': 0, 'total': 2, 'batsman': 2}",0,0.0,0,0.0,0.0,0,0,0,0,2,0,2,Royal Challengers Bengaluru,Bengaluru,2024-03-29,male,T20,0,Kolkata Knight Riders,wickets,7,0,0,0,0,SP Narine,20,Royal Challengers Bengaluru,Kolkata Knight Riders,Kolkata Knight Riders,field,"M Chinnaswamy Stadium, Bengaluru"
3.2,V Kohli,Harshit Rana,0,C Green,"{'extras': 0, 'total': 2, 'batsman': 2}",0,0.0,0,0.0,0.0,0,0,0,0,2,0,2,Royal Challengers Bengaluru,Bengaluru,2024-03-29,male,T20,0,Kolkata Knight Riders,wickets,7,0,0,0,0,SP Narine,20,Royal Challengers Bengaluru,Kolkata Knight Riders,Kolkata Knight Riders,field,"M Chinnaswamy Stadium, Bengaluru"
3.3,V Kohli,Harshit Rana,0,C Green,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Royal Challengers Bengaluru,Bengaluru,2024-03-29,male,T20,0,Kolkata Knight Riders,wickets,7,0,0,0,0,SP Narine,20,Royal Challengers Bengaluru,Kolkata Knight Riders,Kolkata Knight Riders,field,"M Chinnaswamy Stadium, Bengaluru"
3.4,V Kohli,Harshit Rana,0,C Green,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0.0,0.0,0,0,0,0,1,0,1,Royal Challengers Bengaluru,Bengaluru,2024-03-29,male,T20,0,Kolkata Knight Riders,wickets,7,0,0,0,0,SP Narine,20,Royal Challengers Bengaluru,Kolkata Knight Riders,Kolkata Knight Riders,field,"M Chinnaswamy Stadium, Bengaluru"
3.5,C Green,Harshit Rana,0,V Kohli,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Royal Challengers Bengaluru,Bengaluru,2024-03-29,male,T20,0,Kolkata Knight Riders,wickets,7,0,0,0,0,SP Narine,20,Royal Challengers Bengaluru,Kolkata Knight Riders,Kolkata Knight Riders,field,"M Chinnaswamy Stadium, Bengaluru"
3.6,C Green,Harshit Rana,0,V Kohli,"{'extras': 0, 'total': 4, 'batsman': 4}",0,0.0,0,0.0,0.0,0,0,0,0,4,0,4,Royal Challengers Bengaluru,Bengaluru,2024-03-29,male,T20,0,Kolkata Knight Riders,wickets,7,0,0,0,0,SP Narine,20,Royal Challengers Bengaluru,Kolkata Knight Riders,Kolkata Knight Riders,field,"M Chinnaswamy Stadium, Bengaluru"
4.1,V Kohli,AS Roy,0,C Green,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Royal Challengers Bengaluru,Bengaluru,2024-03-29,male,T20,0,Kolkata Knight Riders,wickets,7,0,0,0,0,SP Narine,20,Royal Challengers Bengaluru,Kolkata Knight Riders,Kolkata Knight Riders,field,"M Chinnaswamy Stadium, Bengaluru"
4.2,V Kohli,AS Roy,0,C Green,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0.0,0.0,0,0,0,0,1,0,1,Royal Challengers Bengaluru,Bengaluru,2024-03-29,male,T20,0,Kolkata Knight Riders,wickets,7,0,0,0,0,SP Narine,20,Royal Challengers Bengaluru,Kolkata Knight Riders,Kolkata Knight Riders,field,"M Chinnaswamy Stadium, Bengaluru"
4.3,C Green,AS Roy,0,V Kohli,"{'extras': 0, 'total': 2, 'batsman': 2}",0,0.0,0,0.0,0.0,0,0,0,0,2,0,2,Royal Challengers Bengaluru,Bengaluru,2024-03-29,male,T20,0,Kolkata Knight Riders,wickets,7,0,0,0,0,SP Narine,20,Royal Challengers Bengaluru,Kolkata Knight Riders,Kolkata Knight Riders,field,"M Chinnaswamy Stadium, Bengaluru"
4.4,C Green,AS Roy,0,V Kohli,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Royal Challengers Bengaluru,Bengaluru,2024-03-29,male,T20,0,Kolkata Knight Riders,wickets,7,0,0,0,0,SP Narine,20,Royal Challengers Bengaluru,Kolkata Knight Riders,Kolkata Knight Riders,field,"M Chinnaswamy Stadium, Bengaluru"
4.5,C Green,AS Roy,0,V Kohli,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Royal Challengers Bengaluru,Bengaluru,2024-03-29,male,T20,0,Kolkata Knight Riders,wickets,7,0,0,0,0,SP Narine,20,Royal Challengers Bengaluru,Kolkata Knight Riders,Kolkata Knight Riders,field,"M Chinnaswamy Stadium, Bengaluru"
4.6,C Green,AS Roy,0,V Kohli,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Royal Challengers Bengaluru,Bengaluru,2024-03-29,male,T20,0,Kolkata Knight Riders,wickets,7,0,0,0,0,SP Narine,20,Royal Challengers Bengaluru,Kolkata Knight Riders,Kolkata Knight Riders,field,"M Chinnaswamy Stadium, Bengaluru"
5.1,V Kohli,SP Narine,0,C Green,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0.0,0.0,0,0,0,0,1,0,1,Royal Challengers Bengaluru,Bengaluru,2024-03-29,male,T20,0,Kolkata Knight Riders,wickets,7,0,0,0,0,SP Narine,20,Royal Challengers Bengaluru,Kolkata Knight Riders,Kolkata Knight Riders,field,"M Chinnaswamy Stadium, Bengaluru"
5.2,C Green,SP Narine,0,V Kohli,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Royal Challengers Bengaluru,Bengaluru,2024-03-29,male,T20,0,Kolkata Knight Riders,wickets,7,0,0,0,0,SP Narine,20,Royal Challengers Bengaluru,Kolkata Knight Riders,Kolkata Knight Riders,field,"M Chinnaswamy Stadium, Bengaluru"
5.3,C Green,SP Narine,0,V Kohli,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Royal Challengers Bengaluru,Bengaluru,2024-03-29,male,T20,0,Kolkata Knight Riders,wickets,7,0,0,0,0,SP Narine,20,Royal Challengers Bengaluru,Kolkata Knight Riders,Kolkata Knight Riders,field,"M Chinnaswamy Stadium, Bengaluru"
5.4,C Green,SP Narine,0,V Kohli,"{'extras': 0, 'total': 4, 'batsman': 4}",0,0.0,0,0.0,0.0,0,0,0,0,4,0,4,Royal Challengers Bengaluru,Bengaluru,2024-03-29,male,T20,0,Kolkata Knight Riders,wickets,7,0,0,0,0,SP Narine,20,Royal Challengers Bengaluru,Kolkata Knight Riders,Kolkata Knight Riders,field,"M Chinnaswamy Stadium, Bengaluru"
5.5,C Green,SP Narine,0,V Kohli,"{'extras': 0, 'total': 4, 'batsman': 4}",0,0.0,0,0.0,0.0,0,0,0,0,4,0,4,Royal Challengers Bengaluru,Bengaluru,2024-03-29,male,T20,0,Kolkata Knight Riders,wickets,7,0,0,0,0,SP Narine,20,Royal Challengers Bengaluru,Kolkata Knight Riders,Kolkata Knight Riders,field,"M Chinnaswamy Stadium, Bengaluru"
5.6,C Green,SP Narine,0,V Kohli,"{'extras': 0, 'total': 6, 'batsman': 6}",0,0.0,0,0.0,0.0,0,0,0,0,6,0,6,Royal Challengers Bengaluru,Bengaluru,2024-03-29,male,T20,0,Kolkata Knight Riders,wickets,7,0,0,0,0,SP Narine,20,Royal Challengers Bengaluru,Kolkata Knight Riders,Kolkata Knight Riders,field,"M Chinnaswamy Stadium, Bengaluru"
6.1,V Kohli,AS Roy,0,C Green,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0.0,0.0,0,0,0,0,1,0,1,Royal Challengers Bengaluru,Bengaluru,2024-03-29,male,T20,0,Kolkata Knight Riders,wickets,7,0,0,0,0,SP Narine,20,Royal Challengers Bengaluru,Kolkata Knight Riders,Kolkata Knight Riders,field,"M Chinnaswamy Stadium, Bengaluru"
6.2,C Green,AS Roy,0,V Kohli,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Royal Challengers Bengaluru,Bengaluru,2024-03-29,male,T20,0,Kolkata Knight Riders,wickets,7,0,0,0,0,SP Narine,20,Royal Challengers Bengaluru,Kolkata Knight Riders,Kolkata Knight Riders,field,"M Chinnaswamy Stadium, Bengaluru"
6.3,C Green,AS Roy,0,V Kohli,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Royal Challengers Bengaluru,Bengaluru,2024-03-29,male,T20,0,Kolkata Knight Riders,wickets,7,0,0,0,0,SP Narine,20,Royal Challengers Bengaluru,Kolkata Knight Riders,Kolkata Knight Riders,field,"M Chinnaswamy Stadium, Bengaluru"
6.4,C Green,AS Roy,0,V Kohli,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Royal Challengers Bengaluru,Bengaluru,2024-03-29,male,T20,0,Kolkata Knight Riders,wickets,7,0,0,0,0,SP Narine,20,Royal Challengers Bengaluru,Kolkata Knight Riders,Kolkata Knight Riders,field,"M Chinnaswamy Stadium, Bengaluru"
6.5,C Green,AS Roy,0,V Kohli,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0.0,0.0,0,0,0,0,1,0,1,Royal Challengers Bengaluru,Bengaluru,2024-03-29,male,T20,0,Kolkata Knight Riders,wickets,7,0,0,0,0,SP Narine,20,Royal Challengers Bengaluru,Kolkata Knight Riders,Kolkata Knight Riders,field,"M Chinnaswamy Stadium, Bengaluru"
6.6,V Kohli,AS Roy,0,C Green,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0.0,0.0,0,0,0,0,1,0,1,Royal Challengers Bengaluru,Bengaluru,2024-03-29,male,T20,0,Kolkata Knight Riders,wickets,7,0,0,0,0,SP Narine,20,Royal Challengers Bengaluru,Kolkata Knight Riders,Kolkata Knight Riders,field,"M Chinnaswamy Stadium, Bengaluru"
7.1,V Kohli,SP Narine,0,C Green,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0.0,0.0,0,0,0,0,1,0,1,Royal Challengers Bengaluru,Bengaluru,2024-03-29,male,T20,0,Kolkata Knight Riders,wickets,7,0,0,0,0,SP Narine,20,Royal Challengers Bengaluru,Kolkata Knight Riders,Kolkata Knight Riders,field,"M Chinnaswamy Stadium, Bengaluru"
7.2,C Green,SP Narine,0,V Kohli,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0.0,0.0,0,0,0,0,1,0,1,Royal Challengers Bengaluru,Bengaluru,2024-03-29,male,T20,0,Kolkata Knight Riders,wickets,7,0,0,0,0,SP Narine,20,Royal Challengers Bengaluru,Kolkata Knight Riders,Kolkata Knight Riders,field,"M Chinnaswamy Stadium, Bengaluru"
7.3,V Kohli,SP Narine,0,C Green,"{'extras': 0, 'total': 2, 'batsman': 2}",0,0.0,0,0.0,0.0,0,0,0,0,2,0,2,Royal Challengers Bengaluru,Bengaluru,2024-03-29,male,T20,0,Kolkata Knight Riders,wickets,7,0,0,0,0,SP Narine,20,Royal Challengers Bengaluru,Kolkata Knight Riders,Kolkata Knight Riders,field,"M Chinnaswamy Stadium, Bengaluru"
7.4,V Kohli,SP Narine,0,C Green,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Royal Challengers Bengaluru,Bengaluru,2024-03-29,male,T20,0,Kolkata Knight Riders,wickets,7,0,0,0,0,SP Narine,20,Royal Challengers Bengaluru,Kolkata Knight Riders,Kolkata Knight Riders,field,"M Chinnaswamy Stadium, Bengaluru"
7.5,V Kohli,SP Narine,0,C Green,"{'extras': 0, 'total': 6, 'batsman': 6}",0,0.0,0,0.0,0.0,0,0,0,0,6,0,6,Royal Challengers Bengaluru,Bengaluru,2024-03-29,male,T20,0,Kolkata Knight Riders,wickets,7,0,0,0,0,SP Narine,20,Royal Challengers Bengaluru,Kolkata Knight Riders,Kolkata Knight Riders,field,"M Chinnaswamy Stadium, Bengaluru"
7.6,V Kohli,SP Narine,0,C Green,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Royal Challengers Bengaluru,Bengaluru,2024-03-29,male,T20,0,Kolkata Knight Riders,wickets,7,0,0,0,0,SP Narine,20,Royal Challengers Bengaluru,Kolkata Knight Riders,Kolkata Knight Riders,field,"M Chinnaswamy Stadium, Bengaluru"
8.1,C Green,AD Russell,0,V Kohli,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0.0,0.0,0,0,0,0,1,0,1,Royal Challengers Bengaluru,Bengaluru,2024-03-29,male,T20,0,Kolkata Knight Riders,wickets,7,0,0,0,0,SP Narine,20,Royal Challengers Bengaluru,Kolkata Knight Riders,Kolkata Knight Riders,field,"M Chinnaswamy Stadium, Bengaluru"
8.2,V Kohli,AD Russell,0,C Green,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Royal Challengers Bengaluru,Bengaluru,2024-03-29,male,T20,0,Kolkata Knight Riders,wickets,7,0,0,0,0,SP Narine,20,Royal Challengers Bengaluru,Kolkata Knight Riders,Kolkata Knight Riders,field,"M Chinnaswamy Stadium, Bengaluru"
8.3,V Kohli,AD Russell,0,C Green,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0.0,0.0,0,0,0,0,1,0,1,Royal Challengers Bengaluru,Bengaluru,2024-03-29,male,T20,0,Kolkata Knight Riders,wickets,7,0,0,0,0,SP Narine,20,Royal Challengers Bengaluru,Kolkata Knight Riders,Kolkata Knight Riders,field,"M Chinnaswamy Stadium, Bengaluru"
8.4,C Green,AD Russell,0,V Kohli,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Royal Challengers Bengaluru,Bengaluru,2024-03-29,male,T20,0,Kolkata Knight Riders,wickets,7,0,0,0,0,SP Narine,20,Royal Challengers Bengaluru,Kolkata Knight Riders,Kolkata Knight Riders,field,"M Chinnaswamy Stadium, Bengaluru"
8.5,C Green,AD Russell,0,V Kohli,"{'extras': 0, 'total': 6, 'batsman': 6}",0,0.0,0,0.0,0.0,0,0,0,0,6,0,6,Royal Challengers Bengaluru,Bengaluru,2024-03-29,male,T20,0,Kolkata Knight Riders,wickets,7,0,0,0,0,SP Narine,20,Royal Challengers Bengaluru,Kolkata Knight Riders,Kolkata Knight Riders,field,"M Chinnaswamy Stadium, Bengaluru"
8.6,C Green,AD Russell,0,V Kohli,"{'extras': 0, 'total': 0, 'batsman': 0}","{'player_out': 'C Green', 'kind': 'bowled'}",0.0,0,0.0,0.0,0,bowled,C Green,0,0,0,0,Royal Challengers Bengaluru,Bengaluru,2024-03-29,male,T20,0,Kolkata Knight Riders,wickets,7,0,0,0,0,SP Narine,20,Royal Challengers Bengaluru,Kolkata Knight Riders,Kolkata Knight Riders,field,"M Chinnaswamy Stadium, Bengaluru"
9.1,V Kohli,CV Varun,0,GJ Maxwell,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0.0,0.0,0,0,0,0,1,0,1,Royal Challengers Bengaluru,Bengaluru,2024-03-29,male,T20,0,Kolkata Knight Riders,wickets,7,0,0,0,0,SP Narine,20,Royal Challengers Bengaluru,Kolkata Knight Riders,Kolkata Knight Riders,field,"M Chinnaswamy Stadium, Bengaluru"
9.2,GJ Maxwell,CV Varun,0,V Kohli,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0.0,0.0,0,0,0,0,1,0,1,Royal Challengers Bengaluru,Bengaluru,2024-03-29,male,T20,0,Kolkata Knight Riders,wickets,7,0,0,0,0,SP Narine,20,Royal Challengers Bengaluru,Kolkata Knight Riders,Kolkata Knight Riders,field,"M Chinnaswamy Stadium, Bengaluru"
9.3,V Kohli,CV Varun,0,GJ Maxwell,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Royal Challengers Bengaluru,Bengaluru,2024-03-29,male,T20,0,Kolkata Knight Riders,wickets,7,0,0,0,0,SP Narine,20,Royal Challengers Bengaluru,Kolkata Knight Riders,Kolkata Knight Riders,field,"M Chinnaswamy Stadium, Bengaluru"
9.4,V Kohli,CV Varun,0,GJ Maxwell,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Royal Challengers Bengaluru,Bengaluru,2024-03-29,male,T20,0,Kolkata Knight Riders,wickets,7,0,0,0,0,SP Narine,20,Royal Challengers Bengaluru,Kolkata Knight Riders,Kolkata Knight Riders,field,"M Chinnaswamy Stadium, Bengaluru"
9.5,V Kohli,CV Varun,0,GJ Maxwell,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0.0,0.0,0,0,0,0,1,0,1,Royal Challengers Bengaluru,Bengaluru,2024-03-29,male,T20,0,Kolkata Knight Riders,wickets,7,0,0,0,0,SP Narine,20,Royal Challengers Bengaluru,Kolkata Knight Riders,Kolkata Knight Riders,field,"M Chinnaswamy Stadium, Bengaluru"
9.6,GJ Maxwell,CV Varun,0,V Kohli,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Royal Challengers Bengaluru,Bengaluru,2024-03-29,male,T20,0,Kolkata Knight Riders,wickets,7,0,0,0,0,SP Narine,20,Royal Challengers Bengaluru,Kolkata Knight Riders,Kolkata Knight Riders,field,"M Chinnaswamy Stadium, Bengaluru"
10.1,V Kohli,AD Russell,0,GJ Maxwell,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Royal Challengers Bengaluru,Bengaluru,2024-03-29,male,T20,0,Kolkata Knight Riders,wickets,7,0,0,0,0,SP Narine,20,Royal Challengers Bengaluru,Kolkata Knight Riders,Kolkata Knight Riders,field,"M Chinnaswamy Stadium, Bengaluru"
10.2,V Kohli,AD Russell,0,GJ Maxwell,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Royal Challengers Bengaluru,Bengaluru,2024-03-29,male,T20,0,Kolkata Knight Riders,wickets,7,0,0,0,0,SP Narine,20,Royal Challengers Bengaluru,Kolkata Knight Riders,Kolkata Knight Riders,field,"M Chinnaswamy Stadium, Bengaluru"
10.3,V Kohli,AD Russell,0,GJ Maxwell,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0.0,0.0,0,0,0,0,1,0,1,Royal Challengers Bengaluru,Bengaluru,2024-03-29,male,T20,0,Kolkata Knight Riders,wickets,7,0,0,0,0,SP Narine,20,Royal Challengers Bengaluru,Kolkata Knight Riders,Kolkata Knight Riders,field,"M Chinnaswamy Stadium, Bengaluru"
