delivery,batsman,bowler,extras_dict,non_striker,runs_dict,wicket_dict,wides,noballs,legbyes,byes,penalty,kind,player_out,fielders,runs,extras,total,team,city,date,gender,match_type,neutral_venue,winner,winType,winMargin,result,resultHow,resultTeam,non_boundary,ManOfMatch,overs,team1,team2,tossWinner,tossDecision,venue
0.1,PP Shaw,KH Pandya,0,GJ Maxwell,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0.0,0.0,0,0,0,0,1,0,1,Delhi Daredevils,Delhi,2018-05-20,male,T20,0,Delhi Daredevils,runs,11,0,0,0,0,A Mishra,20,Delhi Daredevils,Mumbai Indians,Delhi Daredevils,bat,Arun Jaitley Stadium
0.2,GJ Maxwell,KH Pandya,{'legbyes': 2},PP Shaw,"{'extras': 2, 'total': 2, 'batsman': 0}",0,0.0,0,2.0,0.0,0,0,0,0,0,2,2,Delhi Daredevils,Delhi,2018-05-20,male,T20,0,Delhi Daredevils,runs,11,0,0,0,0,A Mishra,20,Delhi Daredevils,Mumbai Indians,Delhi Daredevils,bat,Arun Jaitley Stadium
0.3,GJ Maxwell,KH Pandya,0,PP Shaw,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Delhi Daredevils,Delhi,2018-05-20,male,T20,0,Delhi Daredevils,runs,11,0,0,0,0,A Mishra,20,Delhi Daredevils,Mumbai Indians,Delhi Daredevils,bat,Arun Jaitley Stadium
0.4,GJ Maxwell,KH Pandya,0,PP Shaw,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0.0,0.0,0,0,0,0,1,0,1,Delhi Daredevils,Delhi,2018-05-20,male,T20,0,Delhi Daredevils,runs,11,0,0,0,0,A Mishra,20,Delhi Daredevils,Mumbai Indians,Delhi Daredevils,bat,Arun Jaitley Stadium
0.5,PP Shaw,KH Pandya,0,GJ Maxwell,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0.0,0.0,0,0,0,0,1,0,1,Delhi Daredevils,Delhi,2018-05-20,male,T20,0,Delhi Daredevils,runs,11,0,0,0,0,A Mishra,20,Delhi Daredevils,Mumbai Indians,Delhi Daredevils,bat,Arun Jaitley Stadium
0.6,GJ Maxwell,KH Pandya,0,PP Shaw,"{'extras': 0, 'total': 4, 'batsman': 4}",0,0.0,0,0.0,0.0,0,0,0,0,4,0,4,Delhi Daredevils,Delhi,2018-05-20,male,T20,0,Delhi Daredevils,runs,11,0,0,0,0,A Mishra,20,Delhi Daredevils,Mumbai Indians,Delhi Daredevils,bat,Arun Jaitley Stadium
1.1,PP Shaw,JJ Bumrah,0,GJ Maxwell,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Delhi Daredevils,Delhi,2018-05-20,male,T20,0,Delhi Daredevils,runs,11,0,0,0,0,A Mishra,20,Delhi Daredevils,Mumbai Indians,Delhi Daredevils,bat,Arun Jaitley Stadium
1.2,PP Shaw,JJ Bumrah,0,GJ Maxwell,"{'extras': 0, 'total': 4, 'batsman': 4}",0,0.0,0,0.0,0.0,0,0,0,0,4,0,4,Delhi Daredevils,Delhi,2018-05-20,male,T20,0,Delhi Daredevils,runs,11,0,0,0,0,A Mishra,20,Delhi Daredevils,Mumbai Indians,Delhi Daredevils,bat,Arun Jaitley Stadium
1.3,PP Shaw,JJ Bumrah,0,GJ Maxwell,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0.0,0.0,0,0,0,0,1,0,1,Delhi Daredevils,Delhi,2018-05-20,male,T20,0,Delhi Daredevils,runs,11,0,0,0,0,A Mishra,20,Delhi Daredevils,Mumbai Indians,Delhi Daredevils,bat,Arun Jaitley Stadium
1.4,GJ Maxwell,JJ Bumrah,0,PP Shaw,"{'extras': 0, 'total': 2, 'batsman': 2}",0,0.0,0,0.0,0.0,0,0,0,0,2,0,2,Delhi Daredevils,Delhi,2018-05-20,male,T20,0,Delhi Daredevils,runs,11,0,0,0,0,A Mishra,20,Delhi Daredevils,Mumbai Indians,Delhi Daredevils,bat,Arun Jaitley Stadium
1.5,GJ Maxwell,JJ Bumrah,0,PP Shaw,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Delhi Daredevils,Delhi,2018-05-20,male,T20,0,Delhi Daredevils,runs,11,0,0,0,0,A Mishra,20,Delhi Daredevils,Mumbai Indians,Delhi Daredevils,bat,Arun Jaitley Stadium
1.6,GJ Maxwell,JJ Bumrah,0,PP Shaw,"{'extras': 0, 'total': 4, 'batsman': 4}",0,0.0,0,0.0,0.0,0,0,0,0,4,0,4,Delhi Daredevils,Delhi,2018-05-20,male,T20,0,Delhi Daredevils,runs,11,0,0,0,0,A Mishra,20,Delhi Daredevils,Mumbai Indians,Delhi Daredevils,bat,Arun Jaitley Stadium
2.1,PP Shaw,HH Pandya,0,GJ Maxwell,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Delhi Daredevils,Delhi,2018-05-20,male,T20,0,Delhi Daredevils,runs,11,0,0,0,0,A Mishra,20,Delhi Daredevils,Mumbai Indians,Delhi Daredevils,bat,Arun Jaitley Stadium
2.2,PP Shaw,HH Pandya,0,GJ Maxwell,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0.0,0.0,0,0,0,0,1,0,1,Delhi Daredevils,Delhi,2018-05-20,male,T20,0,Delhi Daredevils,runs,11,0,0,0,0,A Mishra,20,Delhi Daredevils,Mumbai Indians,Delhi Daredevils,bat,Arun Jaitley Stadium
2.3,GJ Maxwell,HH Pandya,0,PP Shaw,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Delhi Daredevils,Delhi,2018-05-20,male,T20,0,Delhi Daredevils,runs,11,0,0,0,0,A Mishra,20,Delhi Daredevils,Mumbai Indians,Delhi Daredevils,bat,Arun Jaitley Stadium
2.4,GJ Maxwell,HH Pandya,0,PP Shaw,"{'extras': 0, 'total': 4, 'batsman': 4}",0,0.0,0,0.0,0.0,0,0,0,0,4,0,4,Delhi Daredevils,Delhi,2018-05-20,male,T20,0,Delhi Daredevils,runs,11,0,0,0,0,A Mishra,20,Delhi Daredevils,Mumbai Indians,Delhi Daredevils,bat,Arun Jaitley Stadium
2.5,GJ Maxwell,HH Pandya,0,PP Shaw,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0.0,0.0,0,0,0,0,1,0,1,Delhi Daredevils,Delhi,2018-05-20,male,T20,0,Delhi Daredevils,runs,11,0,0,0,0,A Mishra,20,Delhi Daredevils,Mumbai Indians,Delhi Daredevils,bat,Arun Jaitley Stadium
2.6,PP Shaw,HH Pandya,0,GJ Maxwell,"{'extras': 0, 'total': 4, 'batsman': 4}",0,0.0,0,0.0,0.0,0,0,0,0,4,0,4,Delhi Daredevils,Delhi,2018-05-20,male,T20,0,Delhi Daredevils,runs,11,0,0,0,0,A Mishra,20,Delhi Daredevils,Mumbai Indians,Delhi Daredevils,bat,Arun Jaitley Stadium
3.1,GJ Maxwell,Mustafizur Rahman,0,PP Shaw,"{'extras': 0, 'total': 0, 'batsman': 0}","{'player_out': 'PP Shaw', 'kind': 'run out'}",0.0,0,0.0,0.0,0,run out,PP Shaw,0,0,0,0,Delhi Daredevils,Delhi,2018-05-20,male,T20,0,Delhi Daredevils,runs,11,0,0,0,0,A Mishra,20,Delhi Daredevils,Mumbai Indians,Delhi Daredevils,bat,Arun Jaitley Stadium
3.2,GJ Maxwell,Mustafizur Rahman,0,SS Iyer,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0.0,0.0,0,0,0,0,1,0,1,Delhi Daredevils,Delhi,2018-05-20,male,T20,0,Delhi Daredevils,runs,11,0,0,0,0,A Mishra,20,Delhi Daredevils,Mumbai Indians,Delhi Daredevils,bat,Arun Jaitley Stadium
3.3,SS Iyer,Mustafizur Rahman,0,GJ Maxwell,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0.0,0.0,0,0,0,0,1,0,1,Delhi Daredevils,Delhi,2018-05-20,male,T20,0,Delhi Daredevils,runs,11,0,0,0,0,A Mishra,20,Delhi Daredevils,Mumbai Indians,Delhi Daredevils,bat,Arun Jaitley Stadium
3.4,GJ Maxwell,Mustafizur Rahman,0,SS Iyer,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Delhi Daredevils,Delhi,2018-05-20,male,T20,0,Delhi Daredevils,runs,11,0,0,0,0,A Mishra,20,Delhi Daredevils,Mumbai Indians,Delhi Daredevils,bat,Arun Jaitley Stadium
3.5,GJ Maxwell,Mustafizur Rahman,0,SS Iyer,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Delhi Daredevils,Delhi,2018-05-20,male,T20,0,Delhi Daredevils,runs,11,0,0,0,0,A Mishra,20,Delhi Daredevils,Mumbai Indians,Delhi Daredevils,bat,Arun Jaitley Stadium
3.6,GJ Maxwell,Mustafizur Rahman,0,SS Iyer,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0.0,0.0,0,0,0,0,1,0,1,Delhi Daredevils,Delhi,2018-05-20,male,T20,0,Delhi Daredevils,runs,11,0,0,0,0,A Mishra,20,Delhi Daredevils,Mumbai Indians,Delhi Daredevils,bat,Arun Jaitley Stadium
4.1,GJ Maxwell,JJ Bumrah,0,SS Iyer,"{'extras': 0, 'total': 4, 'batsman': 4}",0,0.0,0,0.0,0.0,0,0,0,0,4,0,4,Delhi Daredevils,Delhi,2018-05-20,male,T20,0,Delhi Daredevils,runs,11,0,0,0,0,A Mishra,20,Delhi Daredevils,Mumbai Indians,Delhi Daredevils,bat,Arun Jaitley Stadium
4.2,GJ Maxwell,JJ Bumrah,{'wides': 1},SS Iyer,"{'extras': 1, 'total': 1, 'batsman': 0}",0,1.0,0,0.0,0.0,0,0,0,0,0,1,1,Delhi Daredevils,Delhi,2018-05-20,male,T20,0,Delhi Daredevils,runs,11,0,0,0,0,A Mishra,20,Delhi Daredevils,Mumbai Indians,Delhi Daredevils,bat,Arun Jaitley Stadium
4.3,GJ Maxwell,JJ Bumrah,0,SS Iyer,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Delhi Daredevils,Delhi,2018-05-20,male,T20,0,Delhi Daredevils,runs,11,0,0,0,0,A Mishra,20,Delhi Daredevils,Mumbai Indians,Delhi Daredevils,bat,Arun Jaitley Stadium
4.4,GJ Maxwell,JJ Bumrah,0,SS Iyer,"{'extras': 0, 'total': 0, 'batsman': 0}","{'player_out': 'GJ Maxwell', 'kind': 'bowled'}",0.0,0,0.0,0.0,0,bowled,GJ Maxwell,0,0,0,0,Delhi Daredevils,Delhi,2018-05-20,male,T20,0,Delhi Daredevils,runs,11,0,0,0,0,A Mishra,20,Delhi Daredevils,Mumbai Indians,Delhi Daredevils,bat,Arun Jaitley Stadium
4.5,RR Pant,JJ Bumrah,0,SS Iyer,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Delhi Daredevils,Delhi,2018-05-20,male,T20,0,Delhi Daredevils,runs,11,0,0,0,0,A Mishra,20,Delhi Daredevils,Mumbai Indians,Delhi Daredevils,bat,Arun Jaitley Stadium
4.6,RR Pant,JJ Bumrah,0,SS Iyer,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Delhi Daredevils,Delhi,2018-05-20,male,T20,0,Delhi Daredevils,runs,11,0,0,0,0,A Mishra,20,Delhi Daredevils,Mumbai Indians,Delhi Daredevils,bat,Arun Jaitley Stadium
4.7,RR Pant,JJ Bumrah,0,SS Iyer,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0.0,0.0,0,0,0,0,1,0,1,Delhi Daredevils,Delhi,2018-05-20,male,T20,0,Delhi Daredevils,runs,11,0,0,0,0,A Mishra,20,Delhi Daredevils,Mumbai Indians,Delhi Daredevils,bat,Arun Jaitley Stadium
5.1,RR Pant,Mustafizur Rahman,0,SS Iyer,"{'extras': 0, 'total': 4, 'batsman': 4}",0,0.0,0,0.0,0.0,0,0,0,0,4,0,4,Delhi Daredevils,Delhi,2018-05-20,male,T20,0,Delhi Daredevils,runs,11,0,0,0,0,A Mishra,20,Delhi Daredevils,Mumbai Indians,Delhi Daredevils,bat,Arun Jaitley Stadium
5.2,RR Pant,Mustafizur Rahman,0,SS Iyer,"{'extras': 0, 'total': 2, 'batsman': 2}",0,0.0,0,0.0,0.0,0,0,0,0,2,0,2,Delhi Daredevils,Delhi,2018-05-20,male,T20,0,Delhi Daredevils,runs,11,0,0,0,0,A Mishra,20,Delhi Daredevils,Mumbai Indians,Delhi Daredevils,bat,Arun Jaitley Stadium
5.3,RR Pant,Mustafizur Rahman,0,SS Iyer,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0.0,0.0,0,0,0,0,1,0,1,Delhi Daredevils,Delhi,2018-05-20,male,T20,0,Delhi Daredevils,runs,11,0,0,0,0,A Mishra,20,Delhi Daredevils,Mumbai Indians,Delhi Daredevils,bat,Arun Jaitley Stadium
5.4,SS Iyer,Mustafizur Rahman,0,RR Pant,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Delhi Daredevils,Delhi,2018-05-20,male,T20,0,Delhi Daredevils,runs,11,0,0,0,0,A Mishra,20,Delhi Daredevils,Mumbai Indians,Delhi Daredevils,bat,Arun Jaitley Stadium
5.5,SS Iyer,Mustafizur Rahman,0,RR Pant,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Delhi Daredevils,Delhi,2018-05-20,male,T20,0,Delhi Daredevils,runs,11,0,0,0,0,A Mishra,20,Delhi Daredevils,Mumbai Indians,Delhi Daredevils,bat,Arun Jaitley Stadium
5.6,SS Iyer,Mustafizur Rahman,0,RR Pant,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Delhi Daredevils,Delhi,2018-05-20,male,T20,0,Delhi Daredevils,runs,11,0,0,0,0,A Mishra,20,Delhi Daredevils,Mumbai Indians,Delhi Daredevils,bat,Arun Jaitley Stadium
6.1,RR Pant,M Markande,0,SS Iyer,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0.0,0.0,0,0,0,0,1,0,1,Delhi Daredevils,Delhi,2018-05-20,male,T20,0,Delhi Daredevils,runs,11,0,0,0,0,A Mishra,20,Delhi Daredevils,Mumbai Indians,Delhi Daredevils,bat,Arun Jaitley Stadium
6.2,SS Iyer,M Markande,0,RR Pant,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0.0,0.0,0,0,0,0,1,0,1,Delhi Daredevils,Delhi,2018-05-20,male,T20,0,Delhi Daredevils,runs,11,0,0,0,0,A Mishra,20,Delhi Daredevils,Mumbai Indians,Delhi Daredevils,bat,Arun Jaitley Stadium
6.3,RR Pant,M Markande,0,SS Iyer,"{'extras': 0, 'total': 4, 'batsman': 4}",0,0.0,0,0.0,0.0,0,0,0,0,4,0,4,Delhi Daredevils,Delhi,2018-05-20,male,T20,0,Delhi Daredevils,runs,11,0,0,0,0,A Mishra,20,Delhi Daredevils,Mumbai Indians,Delhi Daredevils,bat,Arun Jaitley Stadium
6.4,RR Pant,M Markande,0,SS Iyer,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0.0,0.0,0,0,0,0,1,0,1,Delhi Daredevils,Delhi,2018-05-20,male,T20,0,Delhi Daredevils,runs,11,0,0,0,0,A Mishra,20,Delhi Daredevils,Mumbai Indians,Delhi Daredevils,bat,Arun Jaitley Stadium
6.5,SS Iyer,M Markande,0,RR Pant,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0.0,0.0,0,0,0,0,1,0,1,Delhi Daredevils,Delhi,2018-05-20,male,T20,0,Delhi Daredevils,runs,11,0,0,0,0,A Mishra,20,Delhi Daredevils,Mumbai Indians,Delhi Daredevils,bat,Arun Jaitley Stadium
6.6,RR Pant,M Markande,0,SS Iyer,"{'extras': 0, 'total': 6, 'batsman': 6}",0,0.0,0,0.0,0.0,0,0,0,0,6,0,6,Delhi Daredevils,Delhi,2018-05-20,male,T20,0,Delhi Daredevils,runs,11,0,0,0,0,A Mishra,20,Delhi Daredevils,Mumbai Indians,Delhi Daredevils,bat,Arun Jaitley Stadium
7.1,SS Iyer,BCJ Cutting,0,RR Pant,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0.0,0.0,0,0,0,0,1,0,1,Delhi Daredevils,Delhi,2018-05-20,male,T20,0,Delhi Daredevils,runs,11,0,0,0,0,A Mishra,20,Delhi Daredevils,Mumbai Indians,Delhi Daredevils,bat,Arun Jaitley Stadium
7.2,RR Pant,BCJ Cutting,0,SS Iyer,"{'extras': 0, 'total': 4, 'batsman': 4}",0,0.0,0,0.0,0.0,0,0,0,0,4,0,4,Delhi Daredevils,Delhi,2018-05-20,male,T20,0,Delhi Daredevils,runs,11,0,0,0,0,A Mishra,20,Delhi Daredevils,Mumbai Indians,Delhi Daredevils,bat,Arun Jaitley Stadium
7.3,RR Pant,BCJ Cutting,0,SS Iyer,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0.0,0.0,0,0,0,0,1,0,1,Delhi Daredevils,Delhi,2018-05-20,male,T20,0,Delhi Daredevils,runs,11,0,0,0,0,A Mishra,20,Delhi Daredevils,Mumbai Indians,Delhi Daredevils,bat,Arun Jaitley Stadium
